;year_month;uf;product;unit;volume;created_at
168;2013-01-01;SERGIPE;ÓLEO DIESEL S-10;(m3);4191.5;2022-09-12 23:11:30.887749
169;2013-02-01;SERGIPE;ÓLEO DIESEL S-10;(m3);3978.6;2022-09-12 23:11:30.887749
170;2013-03-01;SERGIPE;ÓLEO DIESEL S-10;(m3);4921.6;2022-09-12 23:11:30.887749
171;2013-04-01;SERGIPE;ÓLEO DIESEL S-10;(m3);5369.1;2022-09-12 23:11:30.887749
172;2013-05-01;SERGIPE;ÓLEO DIESEL S-10;(m3);5637.4;2022-09-12 23:11:30.887749
173;2013-06-01;SERGIPE;ÓLEO DIESEL S-10;(m3);5523.9;2022-09-12 23:11:30.887749
174;2013-07-01;SERGIPE;ÓLEO DIESEL S-10;(m3);5940.0;2022-09-12 23:11:30.887749
175;2013-08-01;SERGIPE;ÓLEO DIESEL S-10;(m3);6896.603;2022-09-12 23:11:30.887749
176;2013-09-01;SERGIPE;ÓLEO DIESEL S-10;(m3);7466.738;2022-09-12 23:11:30.887749
177;2013-10-01;SERGIPE;ÓLEO DIESEL S-10;(m3);8139.3;2022-09-12 23:11:30.887749
178;2013-11-01;SERGIPE;ÓLEO DIESEL S-10;(m3);8811.0;2022-09-12 23:11:30.887749
179;2013-12-01;SERGIPE;ÓLEO DIESEL S-10;(m3);9882.4;2022-09-12 23:11:30.887749
180;2013-01-01;BAHIA;ÓLEO DIESEL S-10;(m3);25274.123;2022-09-12 23:11:30.887749
181;2013-02-01;BAHIA;ÓLEO DIESEL S-10;(m3);24716.294;2022-09-12 23:11:30.887749
182;2013-03-01;BAHIA;ÓLEO DIESEL S-10;(m3);32029.998;2022-09-12 23:11:30.887749
183;2013-04-01;BAHIA;ÓLEO DIESEL S-10;(m3);35929.155;2022-09-12 23:11:30.887749
184;2013-05-01;BAHIA;ÓLEO DIESEL S-10;(m3);37845.172;2022-09-12 23:11:30.887749
185;2013-06-01;BAHIA;ÓLEO DIESEL S-10;(m3);38125.774;2022-09-12 23:11:30.887749
186;2013-07-01;BAHIA;ÓLEO DIESEL S-10;(m3);43987.387;2022-09-12 23:11:30.887749
187;2013-08-01;BAHIA;ÓLEO DIESEL S-10;(m3);48891.535;2022-09-12 23:11:30.887749
