ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
2013;JUN;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;217736,003
2013;JUL;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;235476,41
2013;AGO;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;266501,288
2013;SET;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;262685,886
2013;OUT;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;285876,211
2013;NOV;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;271734,768
2013;DEZ;REGIÃO SUDESTE;SÃO PAULO;ÓLEO DIESEL S-10;255230,24
2013;JAN;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;37690,948
2013;FEV;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;37994,903
2013;MAR;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;46695,023
2013;ABR;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;51823,455
2013;MAI;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;54918,57
2013;JUN;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;54564,884
2013;JUL;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;66333,999
2013;AGO;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;75553,272
2013;SET;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;74408,3
2013;OUT;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;80944,238
2013;NOV;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;81377,296
2013;DEZ;REGIÃO SUL;PARANÁ;ÓLEO DIESEL S-10;75595,409
2013;JAN;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;23309
2013;FEV;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;23796,23
2013;MAR;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;26607,301
2013;ABR;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;30435,327
2013;MAI;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;31415,778
2013;JUN;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;31558,52
2013;JUL;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;37687,368
2013;AGO;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;38837,559
2013;SET;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;40840,832
2013;OUT;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;45511,944
2013;NOV;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;44901,98
2013;DEZ;REGIÃO SUL;SANTA CATARINA;ÓLEO DIESEL S-10;41029,008
2013;JAN;REGIÃO SUL;RIO GRANDE DO SUL;ÓLEO DIESEL S-10;26753,386
2013;FEV;REGIÃO SUL;RIO GRANDE DO SUL;ÓLEO DIESEL S-10;25945,25
2013;MAR;REGIÃO SUL;RIO GRANDE DO SUL;ÓLEO DIESEL S-10;31227,61
2013;ABR;REGIÃO SUL;RIO GRANDE DO SUL;ÓLEO DIESEL S-10;36805,532
2013;MAI;REGIÃO SUL;RIO GRANDE DO SUL;ÓLEO DIESEL S-10;36933,427
2013;JUN;REGIÃO SUL;RIO GRANDE DO SUL;ÓLEO DIESEL S-10;36728,557
2013;JUL;REGIÃO SUL;RIO GRANDE DO SUL;ÓLEO DIESEL S-10;41022,488
2013;AGO;REGIÃO SUL;RIO GRANDE DO SUL;ÓLEO DIESEL S-10;43500,585
